起点,终点,道路公里,道路分钟,说明,更新日期
圣克鲁斯市区,北机场 TFN,12.3,12.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,南机场 TFS,66.0,58.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,科斯塔阿德赫／Puerto Colón,77.5,54.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,洛斯克里斯蒂亚诺斯港,77.0,56.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,拉古纳古城,9.9,8.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,拉奥罗塔瓦,35.8,27.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,克鲁斯港,36.4,26.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,加拉奇科,61.1,52.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,伊科德龙血树公园,57.0,47.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,马斯卡接驳点 · 圣地亚哥-德尔泰德,73.7,64.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,洛斯吉甘特斯港／巨人悬崖,102.5,75.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,泰德缆车下站,63.3,63.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,阿纳加 · Cruz del Carmen,20.0,21.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,特雷西塔海滩,9.5,14.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
圣克鲁斯市区,埃尔梅达诺海滩,61.7,43.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,圣克鲁斯市区,12.3,13.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,南机场 TFS,71.8,64.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,科斯塔阿德赫／Puerto Colón,83.4,59.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,洛斯克里斯蒂亚诺斯港,82.8,61.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,拉古纳古城,3.4,5.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,拉奥罗塔瓦,29.3,24.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,克鲁斯港,29.9,23.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,加拉奇科,54.6,50.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,伊科德龙血树公园,50.5,45.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,马斯卡接驳点 · 圣地亚哥-德尔泰德,67.2,62.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,洛斯吉甘特斯港／巨人悬崖,81.5,78.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,泰德缆车下站,53.9,57.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,阿纳加 · Cruz del Carmen,13.9,19.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,特雷西塔海滩,21.0,26.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
北机场 TFN,埃尔梅达诺海滩,67.5,49.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,圣克鲁斯市区,65.7,59.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,北机场 TFN,72.7,65.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,科斯塔阿德赫／Puerto Colón,20.0,29.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,洛斯克里斯蒂亚诺斯港,19.4,31.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,拉古纳古城,70.3,61.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,拉奥罗塔瓦,96.2,79.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,克鲁斯港,96.8,78.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,加拉奇科,68.5,72.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,伊科德龙血树公园,67.0,68.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,马斯卡接驳点 · 圣地亚哥-德尔泰德,46.7,46.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,洛斯吉甘特斯港／巨人悬崖,44.9,50.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
南机场 TFS,泰德缆车下站,52.1,64.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
