"出发城市","到达城市","距离公里","驾驶时间分钟","数据日期","数据说明"
"马德里","巴塞罗那","618","412","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","瓦伦西亚","358","243","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","塞维利亚","534","350","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","格拉纳达","420","286","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","科尔多瓦","394","269","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","马拉加","537","368","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","龙达","549","414","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","托莱多","74","59","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","塞哥维亚","90","72","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","萨拉曼卡","213","153","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","圣地亚哥","591","399","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","毕尔巴鄂","398","270","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","圣塞巴斯蒂安","452","309","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","萨拉戈萨","313","215","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","赫罗纳","686","457","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","阿利坎特","421","278","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","加的斯","651","427","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","梅里达","349","232","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","里斯本","629","410","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"马德里","波尔图","555","378","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","马德里","617","412","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","瓦伦西亚","349","243","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","塞维利亚","995","659","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","格拉纳达","836","564","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","科尔多瓦","860","571","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","马拉加","965","650","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","龙达","1013","705","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","托莱多","689","454","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","塞哥维亚","710","473","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","萨拉曼卡","841","552","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","圣地亚哥","1081","718","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","毕尔巴鄂","607","397","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","圣塞巴斯蒂安","513","378","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","萨拉戈萨","309","210","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","赫罗纳","101","78","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","阿利坎特","536","361","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","加的斯","1108","734","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","梅里达","963","630","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","里斯本","1243","808","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"巴塞罗那","波尔图","1124","742","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","马德里","356","240","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","巴塞罗那","349","239","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","塞维利亚","655","431","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","格拉纳达","478","325","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","科尔多瓦","520","343","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","马拉加","608","411","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","龙达","655","466","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","托莱多","373","255","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","塞哥维亚","449","306","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","萨拉曼卡","572","388","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","圣地亚哥","950","634","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","毕尔巴鄂","612","403","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","圣塞巴斯蒂安","573","385","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","萨拉戈萨","309","212","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","赫罗纳","442","292","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","阿利坎特","178","123","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","加的斯","768","506","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","梅里达","607","423","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","里斯本","886","601","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"瓦伦西亚","波尔图","914","613","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","马德里","535","352","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","巴塞罗那","995","656","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","瓦伦西亚","656","435","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","格拉纳达","250","178","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","科尔多瓦","140","98","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","马拉加","212","155","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","龙达","127","114","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","托莱多","477","319","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","塞哥维亚","604","397","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞维利亚","萨拉曼卡","462","306","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
